nivel_influencia,simulacion,entropia,gini,optativa_1,optativa_2,optativa_3,optativa_4,optativa_5,optativa_6,optativa_7
0.0,42,2.770198075802745,0.12653061224489795,13,13,7,11,8,8,10
0.0,43,2.774212290752012,0.11836734693877551,7,13,12,9,8,12,9
0.0,44,2.769019879806335,0.12244897959183673,10,13,9,9,6,10,13
0.0,45,2.730640073643746,0.15510204081632653,10,18,9,9,9,6,9
0.0,46,2.7241041614909003,0.1836734693877551,17,10,9,11,6,6,11
0.0,47,2.7277702497452454,0.1836734693877551,8,14,14,7,12,5,10
0.0,48,2.7326430272865236,0.17551020408163265,12,8,17,10,9,6,8
0.0,49,2.7536668205571417,0.13877551020408163,5,8,11,11,10,14,11
0.1,0,2.7748465178723283,0.11836734693877551,14,10,7,11,8,11,9
0.1,1,2.785095113299022,0.09795918367346938,10,9,13,12,8,10,8
0.1,2,2.7562949357132576,0.1469387755102041,8,15,13,7,8,10,9
0.1,3,2.6978313947491235,0.2163265306122449,5,13,13,16,7,10,6
0.1,4,2.7501446678093453,0.1469387755102041,9,9,12,9,12,14,5
0.1,5,2.760367988596123,0.14285714285714285,14,9,9,11,7,13,7
0.1,6,2.7646704684664196,0.1346938775510204,8,14,9,8,12,12,7
0.1,7,2.7248377301303033,0.1836734693877551,7,11,7,14,8,16,7
0.1,8,2.754132600158084,0.1510204081632653,8,7,13,7,12,9,14
0.1,9,2.774335074014626,0.11020408163265306,12,9,12,10,12,6,9
0.1,10,2.7192954226258594,0.19183673469387755,9,11,17,12,5,8,8
0.1,11,2.7127030140427384,0.19183673469387755,18,8,10,5,8,11,10
0.1,12,2.787389840769193,0.08979591836734693,12,9,8,13,9,10,9
0.1,13,2.7633786974862176,0.1306122448979592,13,11,6,12,7,10,11
0.1,14,2.7075819423672995,0.2,7,6,15,5,12,13,12
0.1,15,2.7620874760752194,0.13877551020408163,9,7,7,9,14,12,12
0.1,16,2.667444270794903,0.23673469387755103,7,6,16,5,14,15,7
0.1,17,2.691978809703016,0.20816326530612245,12,4,5,10,13,15,11
0.1,18,2.7530325934368256,0.14285714285714285,12,9,8,13,5,12,11
0.1,19,2.7900484886048846,0.08163265306122448,11,11,10,10,12,9,7
0.1,20,2.798866869434125,0.05714285714285714,11,11,10,9,11,8,10
0.1,21,2.7713735944057474,0.11428571428571428,10,11,10,9,10,14,6
0.1,22,2.7226067987935054,0.19183673469387755,12,9,13,7,16,6,7
0.1,23,2.6831822820519826,0.22448979591836735,14,6,11,4,15,7,13
0.1,24,2.7843883401579204,0.09795918367346938,10,9,7,9,11,13,11
0.1,25,2.7329529028428974,0.17551020408163265,14,7,5,13,12,11,8
0.1,26,2.6739773892436087,0.22448979591836735,7,6,8,7,16,8,18
0.1,27,2.7345966877246397,0.17142857142857143,10,5,10,7,13,10,15
0.1,28,2.7310985367710057,0.17551020408163265,14,7,14,13,6,8,8
0.1,29,2.743815408949766,0.1673469387755102,9,9,11,15,6,7,13
0.1,30,2.737312072030838,0.17142857142857143,5,14,7,13,9,10,12
0.1,31,2.7313561986264157,0.17142857142857143,10,11,13,6,11,14,5
0.1,32,2.77379378253194,0.11836734693877551,11,7,12,8,13,11,8
